claim_id,model_id,score,quote,grading_call_id
c-005,openai/gpt-5.4,3,"organizational/name change in 2004, first released under the ASD-STE100 title in January 2005",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-005,anthropic/claude-opus-4.7,3,"changed its name to become ASD Simplified Technical English, Specification ASD-STE100 in 2004, but In 2005, it became an international specification. Best read: the merger and rename were 2004; the formal republication as specification ASD-STE100 was 2005.",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-005,x-ai/grok-4.5,3,"Rename 'around 2004–05': Prior recall was right enough. Precision: organizational rename 2004 (ASD, STEMG); specification rename/status 2005 (ASD-STE100).",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-006,openai/gpt-5.4,3,"Current issue: Issue 9, dated 2025-01-15",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-006,anthropic/claude-opus-4.7,3,"The current issue is 9, released in January 2025.",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-006,x-ai/grok-4.5,3,2025-01-15 | Issue 9 — international standard,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-007,openai/gpt-5.4,0,,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-007,anthropic/claude-opus-4.7,3,"The current edition of the STE Standard, which was published in January 2025, consists of 53 writing rules and a dictionary of approximately 900 approved words.",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-007,x-ai/grok-4.5,0,,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-008,openai/gpt-5.4,3,Maintainer: the ASD Simplified Technical English Maintenance Group (STEMG).,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-008,anthropic/claude-opus-4.7,3,"The STE standard is maintained by the ASD Simplified Technical English Maintenance Group (STEMG), a working group of ASD.",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-008,x-ai/grok-4.5,3,Maintained by ASD Simplified Technical English Maintenance Group (STEMG); reports to ASD Services Commission (SVC),gen-1786650905-zDrGlljHai6rpUVyQwHS
c-009,openai/gpt-5.4,3,"ASD says STE is fully owned by ASD; it is distributed free of charge through official channels, in PDF only, and unauthorized redistribution is prohibited without written permission. That is free distribution, but not an open license.",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-009,anthropic/claude-opus-4.7,3,ASD-STE100 is free. You request an official copy from the ASD-STE100 website. You do not need a paid licence to read the rules. The document is trademarked (EUTM No. 017966390) and copyright ASD.,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-009,x-ai/grok-4.5,3,Copyright: Fully owned by ASD. Default rule: no reproduction or publication in whole or in part without written authority of an ASD officer.,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-010,openai/gpt-5.4,3,collaboration with the Aerospace Industries Association of America (AIA) is documented.,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-010,anthropic/claude-opus-4.7,3,AECMA asked the Aerospace Industries Association (AIA) of America to assist in this project.,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-010,x-ai/grok-4.5,3,AIA (US) invited and participated | Official home page; Wikipedia; Chiarello 2013 | Settled,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-011,openai/gpt-5.4,2,the goal was to make aircraft maintenance documentation easier to understand for readers with only a basic command of English,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-011,anthropic/claude-opus-4.7,3,The key driver for the creation of a controlled and simplified form of English was a request from the airlines (80% of which were not from English-speaking countries) to ensure accurate maintenance practices and guarantee aircraft availability and safety.,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-011,x-ai/grok-4.5,3,The key driver for the creation of a controlled and simplified form of English was a request from the airlines (80% of which were not from English-speaking countries) to ensure accurate maintenance practices and guarantee aircraft availability and safety.,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-012,openai/gpt-5.4,3,"Fokker is directly evidenced, because the founding working group was established at the Fokker plant.",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-012,anthropic/claude-opus-4.7,2,"I could find no authoritative primary source (ASD, STEMG, or the standard's own front matter as reflected in secondary sources) that names individual companies for the founding period.",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-012,x-ai/grok-4.5,2,"SEWG under Fokker lead; 30 June 1983 meeting | Settled for 1983 formation and Fokker lead; meeting date rests on Chiarello (STEMG chair affiliation), not a scanned minute",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-013,openai/gpt-5.4,3,"I cannot source Douglas/McDonnell Douglas as a participating manufacturer in the founding project. That earlier claim should therefore be treated as unsupported here, not repeated.",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-013,anthropic/claude-opus-4.7,3,Any specific company name is unverified from the sources examined here.,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-013,x-ai/grok-4.5,3,'Douglas involvement' as a founding manufacturer role: Prior recall named Douglas. Sources establish a documentation landscape that included Douglas… not a named Douglas seat on SEWG in the materials examined. Treat 'Douglas helped found STE' as folklore/oversimplification,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-014,openai/gpt-5.4,3,The official FAQ says exactly that it is 'not intended for general-purpose writing.',gen-1786650905-zDrGlljHai6rpUVyQwHS
c-014,anthropic/claude-opus-4.7,3,STE is not a simplified version of English for the writers.,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-014,x-ai/grok-4.5,3,STE is a safety instrument for technical documentation,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-015,openai/gpt-5.4,3,"much of STE's current appeal in AI/tooling circles comes from machine-operability: it is unusually easy to compress into checklists, constraints, and lint-like rules.",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-015,anthropic/claude-opus-4.7,3,"its current traction in AI-writing circles comes from its machine-operability, not from anything intrinsic to its origin",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-015,x-ai/grok-4.5,3,"Machine-operability selects for rule-list form — which is the prior run's popularity thesis, confirmed. That selection pressure is not evidence that the rules define quality.",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-016,openai/gpt-5.4,3,"it becomes costly or damaging when the goal is persuasion, voice, nuance, or field-specific rhetorical judgment",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-016,anthropic/claude-opus-4.7,3,"it is actively harmful for persuasion because the devices persuasion depends on (metaphor, cadence variation, rhetorical questions, unhedged voice) are exactly what STE removes by design",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-016,x-ai/grok-4.5,3,"Kills persuasion, voice, nuance, calibrated hedges; noun-cluster and tense bans produce stilted prose outside procedures",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-017,openai/gpt-5.4,3,"Official help explains it uses the Automated Readability Index and flags dense sentences, adverbs, passive voice",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-017,anthropic/claude-opus-4.7,3,Grade level is the Automated Readability Index: your score is 4.71 average word length + 0.5 average sentence length -21.43. That is a 1960s Navy formula reading only character counts and sentence lengths.,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-017,x-ai/grok-4.5,2,grade scoring sits in the ARI / Flesch–Kincaid family (product articles mention both; third-party tests have treated Hemingway's grade as ARI in at least one methods comparison),gen-1786650905-zDrGlljHai6rpUVyQwHS
c-018,openai/gpt-5.4,0,,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-018,anthropic/claude-opus-4.7,3,Hemingway's own pages admit A common mistake is thinking that grade level defines your target audience. This couldn't be more wrong. — yet the whole UI trains users to chase the number.,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-018,x-ai/grok-4.5,0,,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-019,openai/gpt-5.4,3,"Published disciplinary essay with examples and references, but mainly craft guidance / practitioner consensus, not controlled causal evidence.",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-019,anthropic/claude-opus-4.7,3,"Hotaling himself warns against overshooting: It is important not to go too far in your pursuit of conciseness. Over-condensing can lead to ambiguity, unclarity, and the loss of key information.",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-019,x-ai/grok-4.5,3,"No new empirical study. Medium: honest practitioner essay, discipline-specific, cites stronger theory",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-020,openai/gpt-5.4,3,Hotaling explicitly frames concision as part of effective science writing and cites Gopen & Swan and Williams.,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-020,anthropic/claude-opus-4.7,3,Hotaling builds on Gopen & Swan 1990 and Williams & Bizup 2016 (which he cites) and on Schimel 2012.,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-020,x-ai/grok-4.5,3,"craft consensus + pointers to Schimel, Gopen & Swan, Williams & Bizup, Strunk, King",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-021,openai/gpt-5.4,0,,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-021,anthropic/claude-opus-4.7,3,"The paper-specific overrides (keep calibrated hedges, keep passive when the agent is irrelevant, don't chase cadence CV) cite Gopen & Swan for stress/topic position.",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-021,x-ai/grok-4.5,3,"humanize Pass 1 + 4 + audit.py; voice-profile if byline matters… explicit academic overrides that protect hedges, passive-as-tool, IMRaD, and Gopen & Swan stress/topic positions",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-022,openai/gpt-5.4,0,,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-022,anthropic/claude-opus-4.7,3,"Cadence CV > 0.4 is a F threshold — it is not evidence-based, it is a heuristic.",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-022,x-ai/grok-4.5,3,"cadence CV > 0.4 threshold, which is a heuristic and should be either grounded or dropped",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-023,openai/gpt-5.4,3,"It cites Wikipedia-derived AI-tell lore inside tells.md, which is at best folklore + practitioner consensus, not robust scientific grounding.",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-023,anthropic/claude-opus-4.7,3,"The specific tell list draws on Wikipedia's community-maintained 'Signs of AI writing' page — practitioner consensus assembled from thousands of edits, not experiment.",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-023,x-ai/grok-4.5,3,"tells catalog rests on community consensus (the Wikipedia list) and practitioner observation, not experiments",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-024,openai/gpt-5.4,3,"Their common assumption is: Writing quality can be improved by optimizing observable textual features that are simple enough to specify, count, or flag… The assumption becomes weak when it pretends that those features are the thing itself rather than proxies.",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-024,anthropic/claude-opus-4.7,3,"Surface features (sentence length, common vs rare vocabulary, active voice ratio) do correlate with reader comprehension on the corpora where they were measured. That is real. The correlation does not imply the reverse: minimising sentence length or maximising active-voice ratio does not maximise quality",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-024,x-ai/grok-4.5,3,"Shared assumption: writing quality has surface features that a non-reader (a checker, a script, a rubric) can detect… Partly, for a narrow job… Weakly or not at all, as a general theory of good writing",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-025,openai/gpt-5.4,3,"Goodhart's law: optimize the score, worsen the prose; blind to argument, precision, genre, tone",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-025,anthropic/claude-opus-4.7,3,Optimising a formula rewards nonsense that scans as simple.,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-025,x-ai/grok-4.5,3,Optimizing the score games the metric; technical accuracy collapses; style homogenizes,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-026,openai/gpt-5.4,0,,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-026,anthropic/claude-opus-4.7,0,,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-026,x-ai/grok-4.5,3,"Special usage rights (irrevocable, free of charge) granted to eight categories, including: ASD national associations and their member companies; AIA and AIAC members; other ICCAIA members not already covered; customers of those companies; MoDs of ASD/AIA/AIAC member countries; Airlines for America (A4A); airworthiness authorities; universities and research institutes for educational purposes.",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-027,openai/gpt-5.4,0,,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-027,anthropic/claude-opus-4.7,3,"In 2006, and again in 2018, ASD-STE100 was granted the European Union Trade Mark.",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-027,x-ai/grok-4.5,0,,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-028,openai/gpt-5.4,3,"1987: ATA includes a requirement to write in STE in ATA100, per Issue 9.",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-028,anthropic/claude-opus-4.7,0,,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-028,x-ai/grok-4.5,2,1986 | Issue 1 / AECMA Simplified English Guide public; ATA 100 requirement,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-029,openai/gpt-5.4,0,,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-029,anthropic/claude-opus-4.7,3,"The skill itself says it applies to 'docs, procedures, READMEs, reports, UI text' — a much broader scope than aircraft maintenance manuals, without justification for the transfer.",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-029,x-ai/grok-4.5,3,"skill is a lossy compression (rules yes; full dictionary no — correctly, given copyright)",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-030,openai/gpt-5.4,3,the rule-list is not enough… the repo's own humanize skill tacitly admits this by requiring human judgment after the mechanical audit and by using a user-specific voice profile to override generic rules,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-030,anthropic/claude-opus-4.7,3,"voice profile is a blank template until the user fills it, so out of the box it de-slops toward 'generic human,' not the specific author",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-030,x-ai/grok-4.5,3,blank voice-profile → generic 'human',gen-1786650905-zDrGlljHai6rpUVyQwHS
c-031,openai/gpt-5.4,0,,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-031,anthropic/claude-opus-4.7,3,STE is not a simplified version of English for the writers.,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-031,x-ai/grok-4.5,0,,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-032,openai/gpt-5.4,3,"The supplied sources establish intent, governance, and adoption, but not a strong causal outcome literature.",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-032,anthropic/claude-opus-4.7,3,"Empirical comprehension studies on STE-compliant text vs. matched non-STE text, with non-native readers. These may exist inside aviation-industry human-factors research; I could not locate them in open sources.",gen-1786650905-zDrGlljHai6rpUVyQwHS
c-032,x-ai/grok-4.5,3,RCTs or strong quasi-experiments showing STE rules improve outcomes outside maintenance/tech pubs would challenge the 'niche only' conclusion — none were found in this pass.,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-033,openai/gpt-5.4,0,,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-033,anthropic/claude-opus-4.7,3,The next issue 10 is scheduled for January 2028.,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-033,x-ai/grok-4.5,0,,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-034,openai/gpt-5.4,3,Gopen & Swan: Reader comprehension depends on matching sentence structure to reader expectations… Highly influential practitioner theory with cognitive claims,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-034,anthropic/claude-opus-4.7,3,A reader whose working memory decides what registers as 'clear' | E (drawn from reading-comprehension research) + C,gen-1786650905-zDrGlljHai6rpUVyQwHS
c-034,x-ai/grok-4.5,3,Gopen & Swan structure + Williams clarity + Hotaling concision; humanize academic overrides if LLM-drafted,gen-1786650905-zDrGlljHai6rpUVyQwHS
